design,arm,alpha,group,n,pooled_raw_ratio,mean_raw_ratio,wins,p90,worst,pooled_cross_ratio,mean_downstream_anchor_error_ratio,mean_unweighted_anchor_error_ratio,mean_cosine
full129,companion_2_mean_only,0.015390969339713045,validation,8,0.9975547528977935,1.0077680601863417,5,1.1215624734103529,1.1855772457382128,0.9973910748917747,70.67613164132092,31.51637516906109,0.0937762616432268
full129,companion_2_mean_only,0.015390969339713045,expansion,8,0.9497261382701264,0.9755646507309677,4,1.0852452759655864,1.193169879127535,0.9467302828486729,73.07184610224044,35.392261439443516,0.1670826295545973
full129,companion_2_mean_only,0.015390969339713045,rotation,4,0.9797710129466672,0.9523781459890008,3,1.006494691376672,1.010194596947721,0.9788051734290245,61.590707240990234,24.315028433674044,0.19882304103749424
full129,companion_2_mean_only,0.015390969339713045,rotation_expansion,8,0.9962341487317133,1.0135866316740967,2,1.1068744450906134,1.1216620136370545,0.9960025170525934,78.5254889853583,32.78715445858178,-0.06368172639258593
full129,companion_4,0.03529568780723714,train_dev,16,0.9563971812107214,0.9681685519706502,9,1.1448983166584923,1.1887792630274359,0.9514133109656001,40.16541262623486,15.680458054187941,0.1575894761438307
full129,companion_4,0.03529568780723714,calib_dev,8,0.9869948184233128,0.9923469104966207,4,1.0849723526380393,1.0902147874456256,0.9856997650587204,61.497634171079596,23.728889667768883,0.12933935636651261
full129,companion_4,0.03529568780723714,validation,8,0.9987432966039369,0.9949773626774117,5,1.1554567034496732,1.2299505507804538,0.9986591763913667,29.729176474761104,14.41601335337779,0.09975245971745936
full129,companion_4,0.03529568780723714,expansion,8,0.9293289890887739,0.9659823733123535,5,1.1577920725682624,1.1862879321081468,0.9251176529412629,33.59017593538747,13.57109400293135,0.2089776133830187
full129,companion_4,0.03529568780723714,rotation,4,1.0276365584510088,0.987253732964825,2,1.0882953466190963,1.1058475809943566,1.028956074856515,42.20512750880896,14.138949637119106,0.12310991695504264
full129,companion_4,0.03529568780723714,rotation_expansion,8,0.8552194834278956,0.9088126716029761,7,1.0674208076196074,1.2325723428018296,0.8463142580835337,43.55954267536514,18.007384264198443,0.31046136395008733
full129,companion_4_mean_only,0.035296789019165345,train_dev,16,0.9567597022838563,0.9682946434519047,9,1.1471077940667742,1.1841093742463251,0.9518172687632357,39.95449550965382,15.686643060953848,0.1572753814556933
full129,companion_4_mean_only,0.035296789019165345,calib_dev,8,0.9878988092187051,0.9928012751207751,4,1.0841588902455284,1.0919760946423342,0.9866937750756231,60.78425974497829,23.705264873903925,0.12881151813905392
full129,companion_4_mean_only,0.035296789019165345,validation,8,1.0000466438922293,0.9961344583235348,5,1.1569064162662173,1.237110112745052,1.0000497661039953,29.512577068469145,14.34388950512184,0.10002571987632762
full129,companion_4_mean_only,0.035296789019165345,expansion,8,0.9263121040287567,0.9638593445288381,5,1.1568567830556866,1.1795722836139424,0.9219209895401363,33.51086957572302,13.718212162325568,0.20902202880554452
full129,companion_4_mean_only,0.035296789019165345,rotation,4,1.0256265134119598,0.9871708347510654,2,1.0877543694750615,1.1024488620625508,1.026850059568148,44.16248400691831,14.51340850460823,0.12447398867970061
full129,companion_4_mean_only,0.035296789019165345,rotation_expansion,8,0.8523253562679054,0.9065919248185423,7,1.0651734891919957,1.2239530319322054,0.8432421176442352,44.37355930119911,18.17344545311429,0.3103246632965497
full129,companion_8,0.06094554919432084,train_dev,16,0.9326482049862119,0.9653752822255663,11,1.2311819248571525,1.4133163852939121,0.9249497896900138,22.113621957968373,8.175328481610372,0.20979152147440044
full129,companion_8,0.06094554919432084,calib_dev,8,0.9458218173816381,0.9507160059835766,6,1.0084199189356169,1.0230157371669042,0.9404267648578666,16.75698886887948,9.105429323363522,0.219850288828099
full129,companion_8,0.06094554919432084,validation,8,1.0603431994792505,1.0177132440438061,4,1.1741294842211267,1.1744320309191563,1.0643824045798986,13.452359649634381,7.4055063956211455,0.09686292415314099
full129,companion_8,0.06094554919432084,expansion,8,0.878079745876208,0.9091097932824712,7,0.9984388544133717,1.0412996302729296,0.8708144306262214,14.400169718685696,6.119195657852902,0.3395715820803013
full129,companion_8,0.06094554919432084,rotation,4,0.9712623221405485,0.916797704286887,3,1.0485720685646434,1.071768806618307,0.9698902324333989,22.283231697432964,8.691689494757359,0.24018733406622275
full129,companion_8,0.06094554919432084,rotation_expansion,8,0.8337058962258778,0.8916387687622448,5,1.1025920099005997,1.2674392279776787,0.8234774034520603,20.42143925351821,9.129991491769408,0.353408090009498
full129,companion_8_mean_only,0.06138476729307967,train_dev,16,0.9329396051680466,0.9650885047162192,10,1.230952439270209,1.4042373934433727,0.925274497367465,21.779411349768704,8.083597059840598,0.209557941255516
full129,companion_8_mean_only,0.06138476729307967,calib_dev,8,0.9457869287604113,0.9505097667149699,6,1.0084475931863832,1.0231288866223671,0.9403884020347582,16.422525206546666,9.055668566587377,0.21939154784181097
full129,companion_8_mean_only,0.06138476729307967,validation,8,1.060579833831901,1.0181223879346804,4,1.1746819292619985,1.1794137366318411,1.064634878574671,13.355987378096717,7.359817082947929,0.09687327315905975
full129,companion_8_mean_only,0.06138476729307967,expansion,8,0.8761244766260335,0.9081190588365587,7,0.9988854744457519,1.0439770778991635,0.8687426454812663,14.558907428427943,6.215722811042529,0.3395145534276205
full129,companion_8_mean_only,0.06138476729307967,rotation,4,0.9700311048200218,0.9157287995725427,3,1.0488381392676505,1.0707394414995064,0.968600230244414,22.94246444934952,8.850894160562287,0.24091572424873592
full129,companion_8_mean_only,0.06138476729307967,rotation_expansion,8,0.8310794321259319,0.890010037558818,5,1.1018930806136806,1.2635406999345384,0.8206893896130842,20.44602127845649,9.117194709045936,0.3531719802338362
full129,paired,-0.2302906268141443,train_dev,16,0.9977437923801233,1.0052896621641152,8,1.0377741406579415,1.0617360237679117,0.9974859043275673,1.0893506443636216,1.0201129941504736,0.016325441838022803
full129,paired,-0.2302906268141443,calib_dev,8,1.0194651128316192,1.022585870725856,1,1.054084523046352,1.066611224690419,1.0214034448507545,0.9346427388270263,0.9754533216271211,-0.2257261143364947
full129,paired,-0.2302906268141443,validation,8,1.0109876189488962,1.0166785844195725,3,1.0505244182698326,1.0569779147964478,1.0117230994485278,0.9681751303802644,0.9790044372479993,-0.1673361521929524
full129,paired,-0.2302906268141443,expansion,8,1.0134034589640768,1.0067958401984627,2,1.051506213167848,1.0585530504007172,1.0142021806819255,1.0208487950644782,1.0098471928332393,-0.13860403096105237
