config,mode,unshrunk_gain,unshrunk_wins,unshrunk_worst,global_alpha,global_shrink_gain,global_shrink_ci,global_shrink_wins,global_shrink_worst,lono_alpha_mean,lono_shrink_gain,lono_shrink_ci,lono_shrink_wins,lono_shrink_worst
sigtanh_k4_hp|ridge=10|rank=4,cf4,1.00555517587539,4,1.0143665007867868,2.0,1.0110472586285701,"[0.8480176789917178, 1.167836234561508]",4,1.0285042199240768,2.0,1.0110472586285701,"[0.8567746756407875, 1.1765790890591996]",4,1.0285042199240768
harm_k2_d6_8|ridge=1|rank=4,full,1.0145555565705537,6,2.8787153167256183,2.0,1.0286923596102266,"[0.8049824596629597, 1.2386630852699367]",6,4.700822271866707,1.8451508796071243,1.0107362288908501,"[0.8161283236372452, 1.1725376067444357]",6,4.700822271866707
harm_k2_d6_8|ridge=1|rank=full,full,1.0145555565705537,6,2.8787153167256183,2.0,1.0286923596102266,"[0.8049190162809156, 1.2209057854029133]",6,4.700822271866707,1.8451508796071243,1.0107362288908501,"[0.8241108838173311, 1.1735281928343781]",6,4.700822271866707
sigtanh_k4_hp|ridge=10|rank=2,cf4,1.0052357859906136,5,1.0131311013818622,2.0,1.0104347729665566,"[0.8729732509898525, 1.1814966316207014]",5,1.026050370502711,2.0,1.0104347729665566,"[0.8683187347516392, 1.1725468792628664]",5,1.026050370502711
sigtanh_k4_hp|ridge=10|rank=2,full,1.005112089479287,5,1.0310704219026194,2.0,1.0101998591795331,"[0.9214472517200754, 1.1085336604139722]",5,1.0593020703363956,2.0,1.0101998591795331,"[0.9185973599467208, 1.1070447951456186]",5,1.0593020703363956
tanh_k8_hp|ridge=10|rank=16,full,1.0050607993098157,6,1.0711731832196774,2.0,1.0101322442835845,"[0.935845411719, 1.0965328126698535]",6,1.1380778370319204,2.0,1.0101322442835845,"[0.9260737737997259, 1.089061156745084]",6,1.1380778370319204
tanh_k8_hp|ridge=10|rank=full,full,1.0050501404594887,6,1.0707818362302417,2.0,1.010110687463131,"[0.9264256141212421, 1.0896979732670873]",6,1.1372934743592409,2.0,1.010110687463131,"[0.9212284368456092, 1.0878902703419502]",6,1.1372934743592409
tanh_k8_hp|ridge=10|rank=8,full,1.0048179834388185,6,1.080949195629557,2.0,1.0096450056524369,"[0.9272014962107427, 1.0858205237106544]",6,1.1577536577379084,2.0,1.0096450056524369,"[0.9293903426598383, 1.0876596484825947]",6,1.1577536577379084
tanh_k2_hp|ridge=1|rank=full,cf4,1.0049430356049691,5,1.0106599713063018,2.0,1.009625495848377,"[0.8832389226460948, 1.1377224781176594]",5,1.021186094397353,2.0,1.009625495848377,"[0.9106600663582685, 1.1458895850695447]",5,1.021186094397353
tanh_k2_hp|ridge=0.1|rank=full,cf4,1.0052030279369315,3,1.016048450981158,2.0,1.009496002912098,"[0.820795729213179, 1.1997830601728714]",3,1.0316720186948967,2.0,1.009496002912098,"[0.8115464847824143, 1.2201675231152584]",3,1.0316720186948967
sigtanh_k2_hp|ridge=1|rank=8,full,1.0048687860005316,4,1.1737027506880793,2.0,1.0094888476911137,"[0.944723631776671, 1.0809969129286976]",4,1.3463057873155857,2.0,1.0094888476911137,"[0.9379781122585543, 1.0818516673036875]",4,1.3463057873155857
sigtanh_k2_hp|ridge=1|rank=full,full,1.0048680150126432,4,1.1736968349812371,2.0,1.0094872914972686,"[0.9282947368536738, 1.08476260433199]",4,1.3462939558902973,2.0,1.0094872914972686,"[0.9313170397483966, 1.0791758807936505]",4,1.3462939558902973
tanh_k2_hp|ridge=1|rank=4,cf4,1.0048699700846058,5,1.010678956365624,2.0,1.0094784001911608,"[0.8811262453167946, 1.1293459055176558]",5,1.0212236915181139,2.0,1.0094784001911608,"[0.8811262453167931, 1.1425641216766669]",5,1.0212236915181139
tanh_k2_hp|ridge=1|rank=full,full,1.004746326437861,4,1.0064406589511452,2.0,1.009389018402922,"[0.948701572698502, 1.082076337808379]",4,1.0128284498485205,2.0,1.009389018402922,"[0.946922945541128, 1.0820699817209496]",4,1.0128284498485205
tanh_k8_hp|ridge=10|rank=4,full,1.0045029282550249,6,1.0474098567424166,2.0,1.0090147772929905,"[0.9105717575366118, 1.089390084176579]",6,1.0910695489124396,2.0,1.0090147772929905,"[0.9227270325882145, 1.086027451398564]",6,1.0910695489124396
tanh_k2_hp|ridge=1|rank=4,full,1.0045313274726162,4,1.0060675059025497,2.0,1.008955916021382,"[0.9439100498499955, 1.0657839738184867]",4,1.0120823244959856,2.0,1.008955916021382,"[0.9427584082115322, 1.0786430129883968]",4,1.0120823244959856
tanh_k4_hp|ridge=10|rank=full,full,1.0043280128057375,5,1.0055804550124023,2.0,1.008666134007178,"[0.9237181174884523, 1.0806492970310135]",5,1.0111197793532152,2.0,1.008666134007178,"[0.9291055376750155, 1.07547741305853]",5,1.0111197793532152
tanh_k4_hp|ridge=10|rank=8,full,1.0043239471776164,5,1.005610685905393,2.0,1.0086579523875894,"[0.927084124097235, 1.083938337061121]",5,1.011180256786492,2.0,1.0086579523875894,"[0.9309620735014482, 1.0767177175009135]",5,1.011180256786492
harm_k2_d6_8_10|ridge=10|rank=4,full,1.0043274422705848,6,1.7842431668466774,2.0,1.0086442775304565,"[0.9281982202231356, 1.0802706043927428]",6,2.5603147849268333,2.0,1.0086442775304565,"[0.9196291975083585, 1.0959299747369418]",6,2.5603147849268333
harm_k2_d6_8_10|ridge=10|rank=full,full,1.0042841408603829,7,1.7849359179027715,2.0,1.0085569013241928,"[0.9281115761403489, 1.083466230031695]",7,2.56169996174192,2.0,1.0085569013241928,"[0.9353491562176222, 1.07531992640046]",7,2.56169996174192
harm_k2_d6_8_10|ridge=10|rank=2,full,1.00418954294528,6,1.7924964912137529,2.0,1.0083684238322437,"[0.9290864262711368, 1.0813509387786084]",6,2.5769660028270254,2.0,1.0083684238322437,"[0.9304249685722285, 1.0754754968440756]",6,2.5769660028270254
tanh_k4_hp|ridge=10|rank=full,cf4,1.004102401466238,4,1.0076510336797744,2.0,1.0082011587621085,"[0.9080891810054803, 1.108360030606274]",4,1.0152352228559305,2.0,1.0082011587621085,"[0.9108999320534832, 1.1186308362104984]",4,1.0152352228559305
tanh_k4_hp|ridge=10|rank=8,cf4,1.0040876374838503,4,1.0076668101581503,2.0,1.0081714202697445,"[0.9045722444465825, 1.1160212813928918]",4,1.015266677864956,2.0,1.0081714202697445,"[0.9100461211980622, 1.1014519633914004]",4,1.015266677864956
tanh_k8_hp|ridge=10|rank=2,full,1.0039511088948123,5,1.166848171872504,2.0,1.0079056884271158,"[0.9333573545580475, 1.0856996662417666]",5,1.3302524937813254,2.0,1.0079056884271158,"[0.9325272424568404, 1.0758397589922708]",5,1.3302524937813254
sigmoid_k8_hp|ridge=10|rank=full,full,1.003935515219135,5,1.1016120354276602,2.0,1.0078418898950607,"[0.948777288120325, 1.0642849373915995]",5,1.1975269107726687,2.0,1.0078418898950607,"[0.952003730358327, 1.0752453384156402]",5,1.1975269107726687
sigmoid_k8_hp|ridge=10|rank=16,full,1.0039349094843255,5,1.1021088586088705,2.0,1.0078406711700267,"[0.9497769148518581, 1.0788836710056044]",5,1.1985206934256332,2.0,1.0078406711700267,"[0.9539552399562998, 1.07223890394333]",5,1.1985206934256332
sigmoid_k4_hp|ridge=10|rank=8,full,1.0038853362760034,5,1.0789028206597369,2.0,1.0077614026938582,"[0.9462524164366596, 1.0640449571756683]",5,1.1564410646059529,2.0,1.0077614026938582,"[0.9421150375361519, 1.0686488458081973]",5,1.1564410646059529
sigmoid_k4_hp|ridge=10|rank=full,full,1.0038834711258566,5,1.078707636293981,2.0,1.007757642208868,"[0.9462377082272746, 1.064080196814953]",5,1.1560505787639443,2.0,1.007757642208868,"[0.949346042092238, 1.0726625850771814]",5,1.1560505787639443
sigtanh_k2_hp|ridge=1|rank=4,cf4,1.0042048446734622,4,1.0148622851658116,2.0,1.007824655289249,"[0.8682537262728361, 1.1393709476175558]",4,1.031858080924778,1.9970651908064216,1.0077463338560784,"[0.8675287956267438, 1.1595337586923073]",4,1.031858080924778
harm_k2_d6_8_10|ridge=10|rank=4,cf4,1.0037721264144501,6,1.6184205636171858,2.0,1.0075460619667984,"[0.9407227415012074, 1.070708210029368]",6,2.2312683229622676,2.0,1.0075460619667984,"[0.946699307921224, 1.0830149025060343]",6,2.2312683229622676
harm_k2_d6_8_10|ridge=10|rank=full,cf4,1.0037553004804143,6,1.6203002205026689,2.0,1.0075118737863413,"[0.9359279796615707, 1.0839782755190557]",6,2.235018501802806,2.0,1.0075118737863413,"[0.9359279796615706, 1.0848878918930842]",6,2.235018501802806
sigmoid_k8_hp|ridge=10|rank=8,full,1.0037657330651724,4,1.1174969715593428,2.0,1.0075032550091516,"[0.9520155117142554, 1.0687328629536845]",4,1.2294099425540852,2.0,1.0075032550091516,"[0.955778729048186, 1.0645533906258209]",4,1.2294099425540852
harm_k8_d6_8_10|ridge=10|rank=8,cf4,1.0037405679207114,4,1.7009160551791838,2.0,1.0074344419825672,"[0.8868885210256405, 1.1094415446190413]",4,2.3919956136661855,2.0,1.0074344419825672,"[0.8954065985617489, 1.097280286081062]",4,2.3919956136661855
sigmoid_k8_hp|ridge=10|rank=2,full,1.0037069639461549,6,1.2222860745209612,2.0,1.00739531143276,"[0.9473339849081417, 1.067537851373992]",6,1.4399622100326066,2.0,1.00739531143276,"[0.9449536969603964, 1.0675378513739915]",6,1.4399622100326066
sigmoid_k4_hp|ridge=10|rank=full,cf4,1.003635397025516,4,1.007319407641218,2.0,1.007242178846563,"[0.9102979989299576, 1.0975979191399514]",4,1.0149038182816643,2.0,1.007242178846563,"[0.9162572015606661, 1.0982104395442591]",4,1.0149038182816643
