config,mode,gain,wins,worst,alpha,shrink_gain,shrink_wins,shrink_worst,ci
sigmoid_k8|ridge=0.01,full,1.0003084553151784,6,1.025610039058562,1.75,1.0003900342774437,6,1.0451480839178457,"[0.9845110691740521, 1.0115091222615573]"
harm6810_k16|ridge=100,full,1.0001822500834974,6,1.0000668473612,2.0,1.0003644236247486,6,1.0001338814907126,"[1.0000457562144165, 1.0007089603184518]"
harm6810_k8|ridge=100,full,1.0001782967428312,6,1.0000675482103598,2.0,1.0003565213213979,6,1.0001352746410976,"[1.0000427713992928, 1.0007020352595497]"
harm6810_k4|ridge=100,full,1.0001676068453556,6,1.000083188491939,2.0,1.0003351425317046,6,1.000166541699575,"[1.0000143707544547, 1.0006776881557373]"
harm6810_k2|ridge=100,full,1.0001668049794532,6,1.0001176497339863,2.0,1.0003335437034448,6,1.0002354628246815,"[0.9999859965469311, 1.0006924760359008]"
sigtanh_k4|ridge=10,cf4,1.0001577143362683,4,1.0152405988711963,0.75,1.0001772665162056,4,1.0114051411750775,"[0.9934308046482032, 1.0085477372682092]"
sigtanh_k2|ridge=10,cf4,1.0001519390858815,3,1.0148886161230308,0.75,1.0001727975903432,3,1.011141134023716,"[0.9935386012381312, 1.008379237399398]"
sigtanh_k16|ridge=10,cf4,1.000111352250277,4,1.0149806883380692,0.75,1.0001422901882313,4,1.0112118371336751,"[0.9934907946029159, 1.0083580379229122]"
sigtanh_k8|ridge=10,cf4,1.000096665380105,4,1.0150914648251577,0.75,1.0001311770439656,4,1.0112940635355934,"[0.9935305277091898, 1.0084434676165355]"
harm68_k16|ridge=100,full,1.000055086676529,6,1.0000988829010233,2.0,1.0001101153591767,6,1.0001979343544218,"[0.9999608894167021, 1.0002627770558208]"
harm68_k8|ridge=100,full,1.0000547562717912,6,1.00009659516633,2.0,1.0001094584601076,6,1.0001933538412413,"[0.9999633421339053, 1.000258087161876]"
harm68_k4|ridge=100,full,1.0000480163068288,6,1.0000999190446973,2.0,1.0000959824544426,6,1.0001999985280952,"[0.999953643337441, 1.000234688265883]"
harm68_k2|ridge=100,full,1.0000433655186214,7,1.0001249223915996,2.0,1.0000866850057204,7,1.0002500030497585,"[0.9999238497893229, 1.0002378884508998]"
sigmoid_k4|ridge=0.01,full,1.000009068137456,6,1.026098231267897,0.5,1.000030638727863,6,1.0129867973752589,"[0.9954438683307905, 1.0030969529118616]"
harm68_k2|ridge=1,cf4,0.9997735043659425,2,1.0093875945392228,0.25,1.0000115300352261,2,1.0023284888340362,"[0.9983595677741856, 1.0025105702729085]"
sigtanh_k4|ridge=0.1,full,0.9999663930250737,6,1.0244598394424511,0.25,1.0000085914331005,6,1.0060756273688711,"[0.9979028592679692, 1.001405397469813]"
sigmoid_k8|ridge=0.0001,cf4,0.99465708876883,4,1.0455418250232045,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigmoid_k8|ridge=1,cf4,0.9969905581416506,4,1.0224058266171603,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigmoid_k8|ridge=1e-08,cf4,0.994660156113429,4,1.0457482221500654,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigmoid_k8|ridge=0.01,cf4,0.9944832359729541,4,1.0384075112203544,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigmoid_k8|ridge=0.1,cf4,0.9946055873597526,3,1.0334762997998406,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k8|ridge=0.01,cf4,0.9956482118962142,4,1.037984649653888,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k8|ridge=0.1,cf4,0.995904900869676,3,1.0289354629131375,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k8|ridge=1,cf4,0.997890914292029,4,1.0194852127922633,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k2|ridge=1e-08,cf4,0.9937126672440348,2,1.0400797151054577,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k4|ridge=0.0001,cf4,0.9947328306056437,4,1.0430902249530773,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k4|ridge=0.01,cf4,0.9950368993351439,4,1.0381113566202755,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k4|ridge=1e-08,cf4,0.9947286860100313,4,1.0431929639506299,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k8|ridge=0.0001,cf4,0.9954824395522761,4,1.0409555208052934,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigmoid_k4|ridge=1e-08,cf4,0.993936058810421,4,1.048119560694102,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k16|ridge=1e-08,cf4,0.9961347572988308,4,1.0405411501591573,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k4|ridge=1,cf4,0.9979770504878209,4,1.0199595617091342,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k4|ridge=0.1,cf4,0.9957520518287364,3,1.0289665594954311,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k2|ridge=0.1,cf4,0.9952991834566848,3,1.0277557284880878,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigtanh_k16|ridge=10,full,0.9991118580261623,3,1.0056163883941036,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigtanh_k16|ridge=100,full,0.9998848387039191,3,1.0007089304625798,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigtanh_k16|ridge=1e-08,full,0.993381520428643,5,1.0494333981922694,0.0,1.0,0,1.0,"[1.0, 1.0]"
tanh_k2|ridge=0.0001,cf4,0.9937178996527476,2,1.0399810048350147,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigtanh_k2|ridge=1,full,0.9975118800420525,4,1.017314499944867,0.0,1.0,0,1.0,"[1.0, 1.0]"
sigtanh_k2|ridge=10,full,0.9990601055587529,3,1.0053487815842514,0.0,1.0,0,1.0,"[1.0, 1.0]"
harm6810_k16|ridge=1e-08,cf4,0.9786719584108048,1,1.107538273707298,0.0,1.0,0,1.0,"[1.0, 1.0]"
