case_id,base_id,variant,split,orientation,orientation_seed,mse,mse_nc,ratio,ratio_nc,correction_norm,error_correction_ip,correction_cosine,oracle_scale,oracle_scale_mse,p1_p2_cos,c1_c2_cos,c2_p2_cos,p2_norm,c2_norm,nested_rel,first_layer_relerr,p2_common_cos,p2_consensus_cos
3680907127:2,3680907127,2,development,7,1033,1.000997162843217e-07,9.455203499565097e-08,0.7374132040580251,0.7262243828793667,0.002163619688868037,1.1024841991628554e-06,0.10590660045522024,0.23551063539410444,8.941249552655663e-08,0.8750954054530151,0.43371814605059616,0.589102902608207,0.0010942552283882373,0.005697604212239026,1.4289744305268683,0.011430493147743104,0.5713657627744245,0.8590552117764052
3717728479:0,3717728479,0,development,0,1005,2.0942996464841242e-07,1.9627890007514094e-07,1.3410627681837373,1.3724252414548737,0.0027160520873880972,9.391350636294419e-07,0.04984801872158541,0.12730687770211435,1.874837647779564e-07,0.8929681650740467,0.9228343420252038,0.7097346904001518,0.0014550924088674664,0.009530856278620449,0.6170852872575058,0.011237903182493318,0.852607521285716,0.8932966821721927
3717728479:0,3717728479,0,development,1,1007,1.960314423280021e-07,1.8288037775473063e-07,1.2552667386482987,1.2787398263456182,0.0036292574641074893,5.551431320329538e-06,0.2205185522963575,0.4214726655929134,1.7881103741958465e-07,0.9619428687434258,0.9072194474286507,0.9065711845573395,0.0020011333199162393,0.014491969067665996,0.6706509629368315,0.011756606343144156,0.787986454594999,0.9402554520658174
3717728479:0,3717728479,0,development,2,1011,2.935773011571408e-07,2.804262365838693e-07,1.8798913938922368,1.9608019267815433,0.0041563638116554474,-4.882513412772085e-06,-0.16935102524841275,-0.28262874838282426,1.825604042227897e-07,0.3463416790972903,0.5738680890954435,0.24375992755999287,0.00106807947864376,0.006274428191381757,2.5306708369283046,0.011848480420796127,0.8394298019714297,0.8485433336512036
3717728479:0,3717728479,0,development,3,1013,2.488111304779661e-07,2.3566006590469464e-07,1.593235924734401,1.6477870149399945,0.004766233672033381,3.5683680749561228e-06,0.10793250452708734,0.15707930976329035,1.857612708658294e-07,0.8111800305550867,0.46120785327973596,0.700807252803297,0.001450867542892024,0.010064893047743405,1.0492912363733593,0.011422191506439548,0.7769110306687849,0.8012073295008794
3717728479:0,3717728479,0,development,4,1019,1.632665645165078e-07,1.5011549994323633e-07,1.0454602870698448,1.0496405939550517,0.003760698754410428,1.0231008370523195e-05,0.3922002207712746,0.7234047356551695,1.590400087112666e-07,0.7469865049782961,0.5935417295920824,0.6094571048073596,0.001324076845383671,0.00847393633479117,1.0542603434227171,0.010401789009172505,0.7238194405823845,0.8755505528282277
3717728479:0,3717728479,0,development,5,1021,2.69552354105711e-07,2.564012895324395e-07,1.7260501703961304,1.792814212639186,0.004933206388522022,1.7232623782712398e-06,0.05035934369543529,0.07080971334356004,1.8747413445634687e-07,0.5828507353799794,0.644354289666153,0.3428169903495299,0.0008098302644392967,0.013183246645537182,0.8734635463748619,0.01254153988996156,0.26464511454881845,0.4991400302353379
3717728479:0,3717728479,0,development,6,1031,2.0312591027199287e-07,1.899748456987214e-07,1.300695418520977,1.3283459066593857,0.0028953964908788265,2.249244972805268e-06,0.11199191085504345,0.26829999899753487,1.855934754371074e-07,0.8452382590405295,0.8501934494300363,0.5057305665643054,0.0012190392810231222,0.009672132670363268,0.8267753815910716,0.012189965863070274,0.5912484512151165,0.8476827671116299
3717728479:0,3717728479,0,development,7,1033,2.147977200071457e-07,2.0164665543387423e-07,1.3754346254888783,1.4099577675769377,0.002455903079020716,-4.206771262197524e-07,-0.024694237171021274,-0.0697471475985762,1.8783617619622698e-07,0.9247639565220459,0.9297814755965434,0.7009238942615492,0.00148534936636009,0.013519041971358132,0.42598189041488044,0.010651003785509847,0.6250223586862726,0.8366130365312029
3717728479:1,3717728479,1,development,0,1005,2.6606613415213517e-07,2.5291506957886366e-07,0.43988082274395524,0.4274318497266104,0.008157797762972619,7.143476929029613e-05,0.7286245323095366,1.0734054032739013,2.64665379859953e-07,0.8258625292216389,0.9418886522707975,0.8701578726195957,0.0013736391890436814,0.018276964256508058,0.3614488795183781,0.012109253184423624,0.2678536395160765,0.5372345851663491
