k,subset,split,selector,mean_within_case_reward_spearman,pooled_ratio,wins,median,p90,worst,oracle_identity_accuracy_full8,mean_regret_to_oracle8
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,c17_p2_self_consistency,-0.05820105820105824,1.1943415534457624,6,1.3745271609310212,1.8595959183668098,2.3211644291891385,0.1111111111111111,0.500528738206063
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,oracle_true_error_p2_direction,0.21825396825396828,0.8997630667195535,10,0.9568953326682612,1.426564532104996,1.792814212639186,0.05555555555555555,0.2377667937853904
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,p2_consensus,-0.01851851851851852,0.9226552633286417,6,0.9554967609710486,1.6465014461677334,1.957338470435577,0.2222222222222222,0.42371387310739755
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,p2_common,-0.042328042328042326,0.9885339013697609,6,0.8275228027010639,1.6756312560908517,3.1119371489521694,0.1111111111111111,0.5390744071106227
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,first_layer,-0.06349206349206349,1.0725799528458495,5,0.966901204876914,1.847111623447885,2.4559916035736085,0.0,0.6487941617468318
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,p1_p2,-0.1507936507936508,1.1066479279649477,5,0.8275228027010639,1.9783007325235973,3.1119371489521694,0.1111111111111111,0.6403781580469707
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,c1_c2,0.10052910052910054,0.9869742377993218,5,0.823782886532134,1.7371262529729927,3.1119371489521694,0.2222222222222222,0.5387233097859321
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,c2_p2,0.1111111111111111,0.9145994564704373,6,0.824061640871271,1.561881333771903,2.0478865749719546,0.1111111111111111,0.42845378522378463
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,nested_rel,0.04761904761904764,0.9106633586757462,5,0.999479383593159,1.7746914485679464,3.1119371489521694,0.3333333333333333,0.5182335919338531
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,p2_norm_high,0.047619047619047616,0.8440377382943846,6,0.824061640871271,1.267015504168516,1.4403800234718902,0.1111111111111111,0.336874651820531
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,p2_norm_low,-0.047619047619047616,0.8971399447560928,7,0.72828093255599,1.502422098263771,1.694891628416454,0.1111111111111111,0.35519931612982003
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,c2_norm_high,0.1534391534391535,0.6811228955676767,6,0.6121229414584047,1.3917364797044203,1.4403800234718902,0.4444444444444444,0.21923347808494265
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,c2_norm_low,-0.1534391534391535,0.9167134021681458,5,0.8165945223104357,1.6465014461677334,1.957338470435577,0.0,0.436212424516955
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,phase_combo,-0.04497354497354497,1.1022423942747075,5,0.999479383593159,1.7746914485679464,3.1119371489521694,0.0,0.6534649306288705
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,c17_p2_self_consistency,6.1679056923619804e-18,0.7945665236193828,6,0.7828485654977507,1.2548546182266485,1.3795755937625527,0.5555555555555556,0.26916978125749147
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,oracle_true_error_p2_direction,0.18253968253968256,0.8093933755258176,7,0.7635633037329935,2.1295075806922856,2.4559916035736085,0.4444444444444444,0.4089440016070694
8,"[2, 7, 1, 4, 3, 5, 0, 6]",test,p2_consensus,0.018518518518518545,1.080770079220191,2,1.2122136042999712,1.2660298185520815,1.3030545373967488,0.1111111111111111,0.46545627110917664
8,"[2, 7, 1, 4, 3, 5, 0, 6]",test,p2_common,-0.07936507936507939,1.2574307601409929,2,1.2266590105596067,1.754565220527162,2.306821617147198,0.0,0.6820493588225512
8,"[2, 7, 1, 4, 3, 5, 0, 6]",test,first_layer,-0.06613756613756613,1.318231833353472,2,1.4061217049201122,1.6785125737978617,1.6811903124350758,0.0,0.6508049266451287
8,"[2, 7, 1, 4, 3, 5, 0, 6]",test,p1_p2,-0.05555555555555555,1.2651616661844558,3,1.2270648886274655,1.754565220527162,2.306821617147198,0.2222222222222222,0.6264357670488049
8,"[2, 7, 1, 4, 3, 5, 0, 6]",test,c1_c2,-0.04497354497354497,0.9636908527953911,5,0.9766270724368744,1.656912223922354,2.306821617147198,0.3333333333333333,0.47619899125586534
